WP_012629682.1_4055	WP_012629682.1_4055
WP_041237310.1_4087	WP_041237310.1_4087
WP_156793695.1_4119	WP_156793695.1_4119
WP_012629780.1_4151	WP_012629780.1_4151
WP_012629812.1_4183	WP_012629812.1_4183
WP_012629843.1_4215	WP_012629843.1_4215
WP_012629875.1_4247	WP_012629875.1_4247
WP_012629903.1_4279	WP_012629903.1_4279
WP_012629935.1_4311	WP_012629935.1_4311
WP_012629966.1_4343	WP_012629966.1_4343
WP_012629994.1_4375	WP_012629994.1_4375
WP_012630025.1_4407	WP_012630025.1_4407
WP_012630057.1_4439	WP_012630057.1_4439
WP_012630090.1_4471	WP_012630090.1_4471
WP_012630122.1_4503	WP_012630122.1_4503
WP_012630153.1_4535	WP_012630153.1_4535
WP_083774799.1_4567	WP_083774799.1_4567
WP_012630218.1_4599	WP_012630218.1_4599
WP_156793714.1_4631	WP_156793714.1_4631
WP_012630278.1_4663	WP_012630278.1_4663
WP_041237436.1_4695	WP_041237436.1_4695
WP_012630345.1_4727	WP_012630345.1_4727
WP_012630375.1_4759	WP_012630375.1_4759
WP_012630405.1_4791	WP_012630405.1_4791
WP_012630434.1_4823	WP_012630434.1_4823
WP_012630461.1_4855	WP_012630461.1_4855
WP_012630494.1_4887	WP_012630494.1_4887
WP_012630526.1_4919	WP_012630526.1_4919
WP_012630558.1_4951	WP_012630558.1_4951
WP_012630558.1_4951	WP_012628312.1_2662
WP_156793871.1_4983	WP_156793871.1_4983
WP_015939389.1_5015	WP_015939389.1_5015
WP_049771184.1_5047	WP_049771184.1_5047
WP_012630591.1_5143	WP_012630591.1_5143
WP_012630643.1_5207	WP_012630643.1_5207
WP_012630661.1_5239	WP_012630661.1_5239
WP_012630692.1_5271	WP_012630692.1_5271
WP_012630725.1_5303	WP_012630725.1_5303
WP_012623643.1_5335	WP_012623643.1_5335
WP_012625721.1_24	WP_012625721.1_24
WP_012625751.1_56	WP_012625751.1_56
WP_012625783.1_88	WP_012625783.1_88
WP_156793729.1_120	WP_156793729.1_120
WP_012625849.1_152	WP_012625849.1_152
WP_012625883.1_184	WP_012625883.1_184
WP_012625948.1_248	WP_012625948.1_248
WP_012625979.1_280	WP_012625979.1_280
WP_012626011.1_312	WP_012626011.1_312
WP_012626040.1_344	WP_012626040.1_344
WP_012626072.1_376	WP_012626072.1_376
WP_012626099.1_408	WP_012626099.1_408
WP_041236548.1_440	WP_041236548.1_440
WP_012626159.1_472	WP_012626159.1_472
WP_012626192.1_504	WP_012626192.1_504
WP_012626226.1_536	WP_012626226.1_536
WP_012626259.1_568	WP_012626259.1_568
WP_012626291.1_600	WP_012626291.1_600
WP_012626325.1_632	WP_012626325.1_632
WP_012626359.1_664	WP_012626359.1_664
WP_012626390.1_696	WP_012626390.1_696
WP_012626424.1_728	WP_012626424.1_728
WP_012626456.1_760	WP_012626456.1_760
WP_012626488.1_792	WP_012626488.1_792
WP_012626519.1_824	WP_012626519.1_824
WP_041236178.1_856	WP_041236178.1_856
WP_012626583.1_888	WP_012626583.1_888
WP_012626613.1_920	WP_012626613.1_920
WP_012626644.1_952	WP_012626644.1_952
WP_156793593.1_984	WP_156793593.1_984
WP_012626705.1_1016	WP_012626705.1_1016
WP_012626738.1_1048	WP_012626738.1_1048
WP_012626768.1_1080	WP_012626768.1_1080
WP_012626798.1_1112	WP_012626798.1_1112
WP_012626829.1_1144	WP_012626829.1_1144
WP_156793599.1_1176	WP_156793599.1_1176
WP_012626893.1_1208	WP_012626893.1_1208
WP_012626925.1_1240	WP_012626925.1_1240
WP_012626958.1_1272	WP_012626958.1_1272
WP_156793603.1_1304	WP_156793603.1_1304
WP_012627022.1_1336	WP_012627022.1_1336
WP_012627052.1_1368	WP_012627052.1_1368
WP_012627085.1_1400	WP_012627085.1_1400
WP_156793609.1_1432	WP_156793609.1_1432
WP_012627148.1_1464	WP_012627148.1_1464
WP_012627180.1_1496	WP_012627180.1_1496
WP_012627211.1_1528	WP_012627211.1_1528
WP_041236802.1_1560	WP_041236802.1_1560
WP_012627262.1_1592	WP_012627262.1_1592
WP_012627294.1_1624	WP_012627294.1_1624
WP_012627327.1_1656	WP_012627327.1_1656
WP_012627358.1_1688	WP_012627358.1_1688
WP_012627387.1_1720	WP_012627387.1_1720
WP_012627421.1_1752	WP_012627421.1_1752
WP_012627452.1_1784	WP_012627452.1_1784
WP_041236853.1_1816	WP_041236853.1_1816
WP_012627509.1_1848	WP_012627509.1_1848
WP_012627541.1_1880	WP_012627541.1_1880
WP_012627572.1_1912	WP_012627572.1_1912
WP_156793783.1_1944	WP_156793783.1_1944
WP_156793622.1_1976	WP_156793622.1_1976
WP_156793623.1_2008	WP_156793623.1_2008
WP_012627700.1_2040	WP_012627700.1_2040
WP_012627728.1_2072	WP_012627728.1_2072
WP_012627759.1_2104	WP_012627759.1_2104
WP_012627791.1_2136	WP_012627791.1_2136
WP_012627823.1_2168	WP_012627823.1_2168
WP_012627856.1_2200	WP_012627856.1_2200
WP_012627889.1_2232	WP_012627889.1_2232
